symbol,name,type,pair_code
SUNUSDT,SUN,GLOBAL,SUNUSDT
AVAXUSDT,AVAX,GLOBAL,AVAXUSDT
UTKUSDT,UTK,GLOBAL,UTKUSDT
XVSUSDT,XVS,GLOBAL,XVSUSDT
AAVEUSDT,AAVE,GLOBAL,AAVEUSDT
NEARUSDT,NEAR,GLOBAL,NEARUSDT
FILUSDT,FIL,GLOBAL,FILUSDT
INJUSDT,INJ,GLOBAL,INJUSDT
AUDIOUSDT,AUDIO,GLOBAL,AUDIOUSDT
CTKUSDT,CTK,GLOBAL,CTKUSDT
AXSUSDT,AXS,GLOBAL,AXSUSDT
STRAXUSDT,STRAX,GLOBAL,STRAXUSDT
ROSEUSDT,ROSE,GLOBAL,ROSEUSDT
AVAUSDT,AVA,GLOBAL,AVAUSDT
SKLUSDT,SKL,GLOBAL,SKLUSDT
GRTUSDT,GRT,GLOBAL,GRTUSDT
JUVUSDT,JUV,GLOBAL,JUVUSDT
PSGUSDT,PSG,GLOBAL,PSGUSDT
1INCHUSDT,1INCH,GLOBAL,1INCHUSDT
OGUSDT,OG,GLOBAL,OGUSDT
ATMUSDT,ATM,GLOBAL,ATMUSDT
ASRUSDT,ASR,GLOBAL,ASRUSDT
CELOUSDT,CELO,GLOBAL,CELOUSDT
RIFUSDT,RIF,GLOBAL,RIFUSDT
TRUUSDT,TRU,GLOBAL,TRUUSDT
CKBUSDT,CKB,GLOBAL,CKBUSDT
TWTUSDT,TWT,GLOBAL,TWTUSDT
SFPUSDT,SFP,GLOBAL,SFPUSDT
DODOUSDT,DODO,GLOBAL,DODOUSDT
CAKEUSDT,CAKE,GLOBAL,CAKEUSDT
ACMUSDT,ACM,GLOBAL,ACMUSDT
OMUSDT,OM,GLOBAL,OMUSDT
PONDUSDT,POND,GLOBAL,PONDUSDT
DEGOUSDT,DEGO,GLOBAL,DEGOUSDT
ALICEUSDT,ALICE,GLOBAL,ALICEUSDT
SUPERUSDT,SUPER,GLOBAL,SUPERUSDT
CFXUSDT,CFX,GLOBAL,CFXUSDT
TKOUSDT,TKO,GLOBAL,TKOUSDT
PUNDIXUSDT,PUNDIX,GLOBAL,PUNDIXUSDT
TLMUSDT,TLM,GLOBAL,TLMUSDT
BARUSDT,BAR,GLOBAL,BARUSDT
FORTHUSDT,FORTH,GLOBAL,FORTHUSDT
SLPUSDT,SLP,GLOBAL,SLPUSDT
SHIBUSDT,SHIB,GLOBAL,SHIBUSDT
ICPUSDT,ICP,GLOBAL,ICPUSDT
ARUSDT,AR,GLOBAL,ARUSDT
MASKUSDT,MASK,GLOBAL,MASKUSDT
LPTUSDT,LPT,GLOBAL,LPTUSDT
XVGUSDT,XVG,GLOBAL,XVGUSDT
ATAUSDT,ATA,GLOBAL,ATAUSDT
GTCUSDT,GTC,GLOBAL,GTCUSDT
PHAUSDT,PHA,GLOBAL,PHAUSDT
MLNUSDT,MLN,GLOBAL,MLNUSDT
DEXEUSDT,DEXE,GLOBAL,DEXEUSDT
C98USDT,C98,GLOBAL,C98USDT
QNTUSDT,QNT,GLOBAL,QNTUSDT
FLOWUSDT,FLOW,GLOBAL,FLOWUSDT
MINAUSDT,MINA,GLOBAL,MINAUSDT
RAYUSDT,RAY,GLOBAL,RAYUSDT
FARMUSDT,FARM,GLOBAL,FARMUSDT
QUICKUSDT,QUICK,GLOBAL,QUICKUSDT
MBOXUSDT,MBOX,GLOBAL,MBOXUSDT
REQUSDT,REQ,GLOBAL,REQUSDT
GHSTUSDT,GHST,GLOBAL,GHSTUSDT
WAXPUSDT,WAXP,GLOBAL,WAXPUSDT
GNOUSDT,GNO,GLOBAL,GNOUSDT
XECUSDT,XEC,GLOBAL,XECUSDT
DYDXUSDT,DYDX,GLOBAL,DYDXUSDT
IDEXUSDT,IDEX,GLOBAL,IDEXUSDT
USDPUSDT,USDP,GLOBAL,USDPUSDT
GALAUSDT,GALA,GLOBAL,GALAUSDT
ILVUSDT,ILV,GLOBAL,ILVUSDT
YGGUSDT,YGG,GLOBAL,YGGUSDT
SYSUSDT,SYS,GLOBAL,SYSUSDT
DFUSDT,DF,GLOBAL,DFUSDT
FIDAUSDT,FIDA,GLOBAL,FIDAUSDT
AGLDUSDT,AGLD,GLOBAL,AGLDUSDT
RADUSDT,RAD,GLOBAL,RADUSDT
RAREUSDT,RARE,GLOBAL,RAREUSDT
LAZIOUSDT,LAZIO,GLOBAL,LAZIOUSDT
CHESSUSDT,CHESS,GLOBAL,CHESSUSDT
ADXUSDT,ADX,GLOBAL,ADXUSDT
AUCTIONUSDT,AUCTION,GLOBAL,AUCTIONUSDT
MOVRUSDT,MOVR,GLOBAL,MOVRUSDT
CITYUSDT,CITY,GLOBAL,CITYUSDT
ENSUSDT,ENS,GLOBAL,ENSUSDT
QIUSDT,QI,GLOBAL,QIUSDT
PORTOUSDT,PORTO,GLOBAL,PORTOUSDT
POWRUSDT,POWR,GLOBAL,POWRUSDT
JASMYUSDT,JASMY,GLOBAL,JASMYUSDT
AMPUSDT,AMP,GLOBAL,AMPUSDT
PYRUSDT,PYR,GLOBAL,PYRUSDT
ALCXUSDT,ALCX,GLOBAL,ALCXUSDT
SANTOSUSDT,SANTOS,GLOBAL,SANTOSUSDT
BICOUSDT,BICO,GLOBAL,BICOUSDT
FLUXUSDT,FLUX,GLOBAL,FLUXUSDT
FXSUSDT,FXS,GLOBAL,FXSUSDT
HIGHUSDT,HIGH,GLOBAL,HIGHUSDT
CVXUSDT,CVX,GLOBAL,CVXUSDT
PEOPLEUSDT,PEOPLE,GLOBAL,PEOPLEUSDT
SPELLUSDT,SPELL,GLOBAL,SPELLUSDT
JOEUSDT,JOE,GLOBAL,JOEUSDT
ACHUSDT,ACH,GLOBAL,ACHUSDT
IMXUSDT,IMX,GLOBAL,IMXUSDT
GLMRUSDT,GLMR,GLOBAL,GLMRUSDT
SCRTUSDT,SCRT,GLOBAL,SCRTUSDT
API3USDT,API3,GLOBAL,API3USDT
BTTCUSDT,BTTC,GLOBAL,BTTCUSDT
ACAUSDT,ACA,GLOBAL,ACAUSDT
XNOUSDT,XNO,GLOBAL,XNOUSDT
